id_fiche,statut_utilisateur,categorie,activite,activite_reglementee,niveau_vigilance,code_ape_indicatif
fonctionnaire_service_en_salle,fonctionnaire,Restauration / Extra,Service en salle,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_bar_barman,fonctionnaire,Restauration / Extra,Bar / Barman,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_plonge_vaisselle,fonctionnaire,Restauration / Extra,Plonge / Vaisselle,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_aide_cuisine_commis,fonctionnaire,Restauration / Extra,Aide cuisine / Commis,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_chef_de_partie_cuisinier,fonctionnaire,Restauration / Extra,Chef de partie / Cuisinier,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_snack_fast_food,fonctionnaire,Restauration / Extra,Snack / Fast-food,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_food_truck_evenementiel,fonctionnaire,Restauration / Extra,Food truck / Événementiel,True,élevé,"56.10C — restauration de type rapide / food truck, à confirmer par l'Insee"
fonctionnaire_petit_dejeuner_brunch,fonctionnaire,Restauration / Extra,Petit-déjeuner / Brunch,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_service_banquet_mariage,fonctionnaire,Restauration / Extra,Service banquet / Mariage,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_traiteur_a_domicile,fonctionnaire,Restauration / Extra,Traiteur à domicile,True,élevé,"56.21Z — services des traiteurs, à confirmer par l'Insee"
fonctionnaire_montage_de_meubles,fonctionnaire,Bricolage / Travaux,Montage de meubles,False,moyen,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_pose_de_luminaires,fonctionnaire,Bricolage / Travaux,Pose de luminaires,True,élevé,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_pose_de_tringles_etageres,fonctionnaire,Bricolage / Travaux,Pose de tringles / étagères,False,moyen,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_reparation_electromenager,fonctionnaire,Bricolage / Travaux,Réparation électroménager,False,moyen,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_petits_travaux_electricite,fonctionnaire,Bricolage / Travaux,Petits travaux électricité,True,élevé,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_petits_travaux_plomberie,fonctionnaire,Bricolage / Travaux,Petits travaux plomberie,True,élevé,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_pose_de_cloison_placo,fonctionnaire,Bricolage / Travaux,Pose de cloison / placo,True,élevé,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_pose_de_carrelage_faience,fonctionnaire,Bricolage / Travaux,Pose de carrelage / faïence,True,élevé,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_reparation_portail_cloture,fonctionnaire,Bricolage / Travaux,Réparation portail / clôture,True,élevé,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_installation_tv_support_mural,fonctionnaire,Bricolage / Travaux,Installation TV / support mural,False,moyen,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_menage_regulier,fonctionnaire,Aide à domicile,Ménage régulier,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_menage_ponctuel_grand_nettoyage,fonctionnaire,Aide à domicile,Ménage ponctuel / grand nettoyage,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_repassage,fonctionnaire,Aide à domicile,Repassage,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_aide_aux_courses,fonctionnaire,Aide à domicile,Aide aux courses,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_preparation_des_repas,fonctionnaire,Aide à domicile,Préparation des repas,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_accompagnement_personnes_agees,fonctionnaire,Aide à domicile,Accompagnement personnes âgées,True,élevé,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
